size,Triton,Torch
4096.000000,12.190476,15.999999
8192.000000,24.000000,31.999999
16384.000000,60.235295,61.440002
32768.000000,96.000000,96.000000
65536.000000,153.600004,153.600004
131072.000000,255.999991,255.999991
262144.000000,425.558445,384.000001
524288.000000,558.545450,558.545450
1048576.000000,717.547469,722.823517
2097152.000000,744.727267,744.727267
4194304.000000,790.383912,792.774204
8388608.000000,847.448255,847.448255
16777216.000000,881.650242,885.621612
33554432.000000,903.944839,907.596055
67108864.000000,916.587398,916.587398
134217728.000000,919.803518,919.803518
